         4189763 function calls (3931303 primitive calls) in 425.413 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.301    0.301 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/model_executor/model_loader/loader.py:301(_get_weights_iterator)
        1    0.000    0.000    0.301    0.301 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/model_executor/model_loader/loader.py:232(_prepare_weights)
        1    0.000    0.000    0.301    0.301 /opt/conda/envs/pytorch/lib/python3.10/site-packages/transformers/models/auto/tokenization_auto.py:707(from_pretrained)
        1    0.000    0.000    0.300    0.300 /opt/conda/envs/pytorch/lib/python3.10/site-packages/xformers/ops/fmha/flash.py:1(<module>)
        8    0.000    0.000    0.299    0.037 /opt/conda/envs/pytorch/lib/python3.10/site-packages/torch/library.py:133(_register_fake)
       10    0.000    0.000    0.298    0.030 /opt/conda/envs/pytorch/lib/python3.10/site-packages/torch/_tensor.py:1033(__iter__)
       10    0.298    0.030    0.298    0.030 {method 'unbind' of 'torch._C.TensorBase' objects}
       26    0.000    0.000    0.298    0.011 /opt/conda/envs/pytorch/lib/python3.10/inspect.py:932(findsource)
        7    0.001    0.000    0.297    0.042 /home/ubuntu/plasma-converter/src/games/lean_game.py:479(post_process)
        2    0.000    0.000    0.296    0.148 /opt/conda/envs/pytorch/lib/python3.10/site-packages/torch/library.py:647(register)
        8    0.000    0.000    0.296    0.037 /opt/conda/envs/pytorch/lib/python3.10/site-packages/torch/_library/utils.py:33(get_source)
        8    0.000    0.000    0.296    0.037 /opt/conda/envs/pytorch/lib/python3.10/inspect.py:1604(getframeinfo)
       34    0.011    0.000    0.296    0.009 /opt/conda/envs/pytorch/lib/python3.10/inspect.py:850(getmodule)
      661    0.052    0.000    0.291    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/attention/backends/utils.py:192(build)
      661    0.005    0.000    0.290    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/model_executor/models/llama.py:433(compute_logits)
     7271    0.014    0.000    0.289    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/utils.py:824(async_tensor_h2d)
        1    0.285    0.285    0.285    0.285 {method 'sort' of 'torch._C.TensorBase' objects}
19270/19269    0.285    0.000    0.285    0.000 {method 'to' of 'torch._C.TensorBase' objects}
        1    0.000    0.000    0.284    0.284 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/distributed/parallel_state.py:838(init_distributed_environment)
        1    0.000    0.000    0.278    0.278 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/model_executor/model_loader/weight_utils.py:200(download_weights_from_hf)
        1    0.006    0.006    0.277    0.277 /opt/conda/envs/pytorch/lib/python3.10/site-packages/transformers/tokenization_utils_base.py:2034(from_pretrained)
      661    0.004    0.000    0.276    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/model_executor/layers/logits_processor.py:47(forward)
        1    0.000    0.000    0.271    0.271 /opt/conda/envs/pytorch/lib/python3.10/site-packages/transformers/tokenization_utils_base.py:2285(_from_pretrained)
     2160    0.006    0.000    0.269    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/_custom_ops.py:69(paged_attention_v1)
     2160    0.260    0.000    0.260    0.000 {built-in method torch._ops._C.paged_attention_v1}
       13    0.000    0.000    0.253    0.019 /opt/conda/envs/pytorch/lib/python3.10/site-packages/torch/distributed/c10d_logger.py:90(wrapper)
    17913    0.039    0.000    0.252    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/pexpect/expect.py:42(existing_data)
      661    0.012    0.000    0.246    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/model_executor/layers/logits_processor.py:76(_get_logits)
        1    0.000    0.000    0.241    0.241 /opt/conda/envs/pytorch/lib/python3.10/site-packages/torch/distributed/distributed_c10d.py:1208(init_process_group)
        7    0.000    0.000    0.240    0.034 /home/ubuntu/plasma-converter/src/games/lean_game.py:36(process_lean4_results)
        2    0.000    0.000    0.240    0.120 /opt/conda/envs/pytorch/lib/python3.10/site-packages/torch/distributed/rendezvous.py:190(_tcp_rendezvous_handler)
        7    0.000    0.000    0.240    0.034 /home/ubuntu/plasma-converter/src/games/ast_parser.py:1051(lean4_parser)
        1    0.240    0.240    0.240    0.240 /opt/conda/envs/pytorch/lib/python3.10/site-packages/torch/distributed/rendezvous.py:155(_create_c10d_store)
    58/21    0.000    0.000    0.236    0.011 /opt/conda/envs/pytorch/lib/python3.10/importlib/__init__.py:108(import_module)
    58/21    0.000    0.000    0.236    0.011 <frozen importlib._bootstrap>:1038(_gcd_import)
        7    0.000    0.000    0.234    0.033 /home/ubuntu/plasma-converter/src/games/ast_parser.py:393(theorem_lemma_abbrev)
     6893    0.066    0.000    0.229    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/model_executor/layers/layernorm.py:46(forward_cuda)
        1    0.000    0.000    0.229    0.229 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/model_executor/model_loader/loader.py:161(_initialize_model)
      661    0.006    0.000    0.229    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/model_executor/layers/sampler.py:181(_init_sampling_tensors)
        1    0.000    0.000    0.225    0.225 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/model_executor/model_loader/loader.py:145(build_model)
        1    0.000    0.000    0.225    0.225 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/model_executor/models/llama.py:379(__init__)
        1    0.000    0.000    0.224    0.224 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/model_executor/models/llama.py:267(__init__)
        1    0.000    0.000    0.222    0.222 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/model_executor/models/utils.py:233(make_layers)
        1    0.000    0.000    0.222    0.222 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/model_executor/models/utils.py:247(<listcomp>)
       30    0.000    0.000    0.221    0.007 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/model_executor/models/llama.py:294(<lambda>)
       30    0.001    0.000    0.220    0.007 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/model_executor/models/llama.py:188(__init__)
    15216    0.218    0.000    0.218    0.000 {built-in method torch.tensor}
    18423    0.113    0.000    0.208    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/pexpect/expect.py:18(do_search)
        9    0.000    0.000    0.202    0.022 /opt/conda/envs/pytorch/lib/python3.10/site-packages/requests/sessions.py:500(request)
        2    0.000    0.000    0.201    0.101 /opt/conda/envs/pytorch/lib/python3.10/site-packages/filelock/_api.py:369(__enter__)
        2    0.000    0.000    0.201    0.101 /opt/conda/envs/pytorch/lib/python3.10/site-packages/filelock/_api.py:271(acquire)
        1    0.000    0.000    0.201    0.201 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/utils.py:766(__exit__)
     2196    0.004    0.000    0.198    0.000 /opt/conda/envs/pytorch/lib/python3.10/posixpath.py:392(realpath)
      661    0.006    0.000    0.197    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/distributed/communication_op.py:20(tensor_model_parallel_gather)
